rebalance_date,spot_ticker,spot_price,parent_symbol,raw_symbol,option_type,expiration,strike_price,dte_days,atm_distance_pct,quote_schema,quote_start,quote_end,record_count,billable_bytes,estimated_cost_usd
2026-03-02,^SPX,6881.6201171875,SPX.OPT,SPX   260320C06880000,call,2026-03-20,6880.0,18.0,0.023542671055811457,cbbo-1m,2026-03-02,2026-03-20,6277,502160,0.000935345888
2026-03-02,^SPX,6881.6201171875,SPX.OPT,SPX   260320P06880000,put,2026-03-20,6880.0,18.0,0.023542671055811457,cbbo-1m,2026-03-02,2026-03-20,6312,504960,0.000940561295
